Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Trip in the Woods: Biere De Garde,Sierra Nevada Brewing Co.,Biere de Garde,,California,11/21/2018,November,2018,Lee M.,67,Ben W. / Jeremy S.,3.60,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,4.50,,1.75,,,,,,2.50,,4.00,2.00,,,4.00,,,,,,,,,,,,,,,,4.50,,4.50,,,,,3.75,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedtime Stories Imperial Milk Stout,Abomination Brewing,Stout,Sweet/Milk Stout,Connecticut,8/21/2019,August,2019,Jeremy S.,76,Dave E.,3.60,4.00,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,4.00,,3.00,,,,,,3.50,,,,,,,,,,,,4.00,,,,4.00,,3.75,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,3.25
Hipster Repellant IPA,Falls City Brewing Co.,IPA,American IPA,Kentucky,11/21/2014,November,2014,Denis M.,19,Tony H.,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,3.00,,,,,2.50,,,,,,,,3.50,,,,,5.00,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,3.00,,,,,,,,,,3.50,,,,,
Cryosphere India Pale Ale,Terrapin Beer Co.,IPA,American IPA,Georgia,5/29/2020,May,2020,Wes B.,83,Charlie D.,3.59,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,2.75,,,,,,,,,,,,,4.00,,,,,,3.50,,,3.75,,,3.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,
IPA,Karrikin Spirits Co.,IPA,American IPA,Ohio,5/29/2020,May,2020,Wes B.,83,Jake W.,3.59,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,3.00,,,,,,,,,,,,,3.75,,,,,,4.00,,,3.75,,,2.50,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,
Abt 12 Abbey Ale,Brouwerij St. Bernardus NV,Quad,Belgian Quad,Belgium,8/26/2022,August,2022,Jeremy S.,110,Juan B.,3.59,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,3.50,,,3.25,,,,,,,,,,,,3.75,4.50,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
Black Note Stout,Bell's Brewery,Stout,American Imperial Stout,Michigan,2/29/2024,February,2024,Scott T.,128,Scott T.,3.59,,,,,,,,,,,,4.00,,,3.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,4.75,,,,,,,,,,,,,,,
Shake Chocolate Porter,Boulder Beer ,Porter,American Porter,Colorado,7/5/2019,July,2019,Dave E.,75,Charlie D.,3.59,3.00,,,,,,,,,,,,,,,3.50,,,,,,,3.25,,,,,,,,,,,3.25,,,,,,,,,4.25,,,,,,,,,,3.50,,,3.50,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,4.50
Blood Orange Psychopathy IPA,MadTree Brewing Co.,IPA,American IPA,Ohio,10/13/2016,October,2016,Sam E.,42,Matt S.,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,3.50,,,
Oktoberfest,West Side Brewing,Oktoberfest,Marzen,Ohio,9/12/2020,September,2020,Jason M.,87,Jason M.,3.58,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,3.50,,,,,,,,,,,,,3.25,,,,3.75,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hop Baron Double Down IPA,Rivertown Brewing Co.,IPA,Double IPA,Ohio,6/25/2013,June,2013,Colin J.,2,Jake W.,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,3.50,,,,,,,,,,,,,4.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,
Ichabod Pumpkin Ale,New Holland Brewing Co.,Pumpkin,,Michigan,10/10/2013,October,2013,Matt S.,6,Scott T.,3.57,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,4.00,,,,3.50,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,4.00,,,
"My Mug, My Rules Imperial Stout",Short Throw Brewing Co.,Stout,American Imperial Stout,Connecticut,10/16/2020,October,2020,Dave E. and Jake W.,89,Paul K.,3.57,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,2.75,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Hopslam Ale,Bell's Brewery,IPA,Double IPA,Michigan,3/2/2018,February,2018,Colin J.,58,Colin J.,3.57,,,,,,,,,,,,,,,,,,2.50,,,,,4.00,,,,3.75,,,4.50,,,,2.00,,,,,,,,,,,,,4.00,,,,,,3.75,,,3.00,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,
Oktoberfest,Bell's Brewery,Oktoberfest,Marzen,Michigan,9/28/2018,September,2018,Aaron T. and Jeremy S.,65,Jeremy S.,3.57,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,3.25,,,,,,,,3.00,,3.75,4.00,,,3.00,,,,,,,,,,,,4.00,,,,4.00,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,
950 Cuvee,Brouwerij Affligem,Blonde,Belgian Blonde,Belgium,1/17/2014,January,2014,Phil H.,9,Jason S.,3.56,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,3.50,,2.50,,,,,3.00,,,3.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,
Amber Ale,Mt. Carmel Brewing Co.,Amber,,Ohio,7/22/2015,July,2015,Trent D.,27,Trent D.,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.50,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,3.50,,,,,,,,,,,3.00,,,,,4.00,,,,,,,,,,,,4.00,,,
ERIC More Cowbell! Chocolate Milk Stout,SingleCut Beersmiths,Stout,Sweet/Milk Stout,New York,8/21/2019,August,2019,Jeremy S.,76,Lee M.,3.56,2.00,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,4.00,,4.00,,,,,,4.00,,,,,,,,,,,,4.25,,,,3.50,,4.00,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,3.25
Nocturnal Dark Lager,Sonder Brewing,Schwarzbier,,Ohio,1/30/2023,January,2023,Scott T.,115,Dave E.,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,3.50,,,,,,,,,2.75,,,,,,,,,,3.50,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,3.50,,,,,,,,,,,,,,,
Wildness Alaskan Cold Beer,Alaskan Brewing Co.,Blonde,,Alaska,9/27/2024,September,2024,Charlie D.,135,Charlie D.,3.56,,,,,,,,,,,,,,,,,,3.50,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batsquatch Hazy IPA,Rogue Ales,IPA,New England/Hazy IPA,Oregon,12/11/2020,December,2021,Paul W.,90,Jeremy S. / Lee M. / Merritt W.,3.56,3.00,,,,,,,,,,,,,,4.25,3.50,,3.50,,,,,4.25,,,,,,,,,,,3.50,,,,,,,,,3.50,,2.00,,3.00,,,,4.00,,3.75,,,3.00,,,5.00,,,,,,,,,,,,,,,,3.50,,3.50,,,,,,,,,,,,,,,3.75,,3.75,3.25,4.50,,,,,,,,,,,,,,,4.00,,,,,2.25,,,,,,,,,,
Gnarly Brown,MadTree Brewing Co.,Brown,,Ohio,7/22/2015,July,2015,Trent D.,27,Dave E.,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,4.00,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,4.00,,,,,,,3.00,,,,,,,,,,,2.50,,,,,3.50,,,,,,,,,,,,3.00,,,
Gaffel Kolsch,Privatbrauerei Gaffel Becker & Co.,Kolsch,,Germany,6/21/2019,June,2019,Ben W.,74,Dick K.,3.56,,,,,,,,,,,,,,,,4.00,,,,,,,3.00,,,,,,,,,,,2.50,,,,,,3.75,,,4.00,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,
Green Moss Citra and Simcoe-Hopped Double India Pale Ale,Hop Butcher for the World,IPA,Double IPA,Illinois,1/31/2025,January,2025,Scott T.,139,David A.,3.56,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,2.50,,5.00,,,,,,,3.75,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,3.25,,,,,,,,,,,,,,,
Crooked Tree IPA,Dark Horse Brewing Co.,IPA,American IPA,Michigan,11/21/2014,November,2014,Denis M.,19,Eric H.,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,2.50,,,,,3.00,,,,,,,,4.00,,,,,4.50,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,3.00,,,,,,,,,,3.00,,,,,
Milk Stout,North High Brewing Co.,Stout,Sweet/Milk Stout,Ohio,7/27/2016,July,2016,Kevin W.,39,Eric A.,3.55,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,4.50,,2.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,4.00,,,,,,3.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,
Pigs Ass Porter,Harvest Moon Brewery,Porter,English Porter,Montana,3/2/2018,February,2018,Colin J.,58,Scott T.,3.55,,,,,,,,,,,,,,,,,,2.50,,,,,4.25,,,,3.75,,,3.25,,,,3.25,,,,,,,,,,,,,3.25,,,,,,4.00,,,3.50,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,
Evil Dead Red,Ale Smith Brewing Co.,Red,,California,10/18/2018,October,2018,Phil H.,66,Charlie D.,3.55,,,,,,,,,,,,,,,,3.50,,4.00,,,,,4.00,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,4.00,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,2.50,2.50,4.50,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,
Munsterfest Oktoberfest-style Lager,3 Floyds Brewing Co.,Oktoberfest,Marzen,Indiana,9/27/2019,September,2019,Kevin W.,77,Jeremy S.,3.55,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.50,,,,3.25,,,,4.25,,3.25,,,,,,4.25,,,,,,,,,,,,4.00,,,,3.50,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
Necron 99 Scorch-Style Ale,3 Floyds Brewing Co.,IPA,American IPA,Indiana,7/3/2017,July,2017,Dave E.,51,Matt S.,3.54,4.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,3.00,,,,,,3.50,,,,,,4.00,,,,,,,,,,,,,,,,4.50,,,,,,,,4.00,,,3.25,,,,,,,,2.75,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,
Canadian Breakfast Stout,Founders Brewing Co.,Stout,American Imperial Stout,Michigan,11/21/2018,November,2018,Lee M.,67,Paul K. / Jake W.,3.54,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,4.00,,2.25,,,,,,3.00,,4.25,1.50,,,3.50,,,,,,,,,,,,,,,,4.00,,4.75,,,,,4.50,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm An Alligator IIPA,SingleCut Beersmiths,IPA,Imperial IPA,New York,1/30/2020,January,2020,Scott T.,81,Wes B.,3.54,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,4.75,,,,3.50,,,,,,4.00,,,,,,3.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,3.00,,,,,3.25,,,,,3.00,,,,4.25,
Cold Mountain Winter Ale,Highland Brewing Co.,Winter,,North Carolina,12/6/2019,December,2020,Paul W.,80,Paul W.,3.54,3.00,,,,,,,,,,,,,,,3.00,,3.50,,,,,4.00,,,3.25,,,,,,,,3.00,,,,,,,,,,,3.00,,3.50,,,,4.50,,3.00,,,3.75,,,4.50,,,,,,,,,,,,4.25,,,,,,3.75,,,,,,,,,,,,,,,,,3.25,3.50,,,,,,,,,,,,,,,,3.00,,,,,,3.25,,,,,,,,4.25,
Big Bunny Imperial Chocolate Milk Stout,Stillwater Artisanal Ales,Stout,Sweet/Milk Stout,Maryland,7/3/2017,July,2017,Dave E.,51,Phil H.,3.54,4.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,2.50,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,3.00,,,4.00,,,,,,,,3.75,,4.25,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,3.50,,,
Black Cats English Brown Ale,Streetside Brewery,Brown,,Ohio,5/31/2021,May,2021,Scott T.,95,Ben S.,3.54,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,3.25,,,,4.00,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
Pride & Joy 3000 Mild Ale,3 Floyds Brewing Co.,Mild Ale,American Mild Ale,Indiana,6/21/2019,June,2019,Ben W.,74,Josh R.,3.53,,,,,,,,,,,,,,,,4.00,,,,,,,3.00,,,,,,,,,,,2.00,,,,,,3.50,,,4.00,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Out Blueberry Walnut Cream Stout ,Fifty West Brewing Co.,Stout,American Stout,Ohio,4/12/2019,April,2019,Andrew P.,72,Dave E.,3.53,,,,,,,,,,3.50,,,,,,3.75,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,3.50,,,3.00,,,,,,,,,,,,,,,,,,,3.50,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,2.50
Nugget Nectar,Troegs Brewing Co.,Red,,Pennsylvania,1/26/2018,January,2018,Ben W.,57,Richard A.,3.53,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,3.50,,,,3.25,,,,,,,,,,,,,3.25,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.50,,3.50,,,,3.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,
Cafe Ink Imperial Stout,Rhinegeist Brewing Co.,Stout,American Imperial Stout,Ohio,4/17/2018,April,2018,Jake W.,60,Jason F.,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,4.00,,4.00,3.00,,,3.75,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,3.50,3.00,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,2.00,,,,
Dinner Ale,Maine Brewing Co.,IPA,Double IPA,Maine,12/20/2024,December,2025,Paul W.,138,Paul W.,3.53,,,,,,,,,,,,,,,,,4.00,3.25,,,,,4.50,,,,,,,,,,,2.25,,3.25,,,,,,,,,2.50,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,4.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Insane Wanderer IPA,Columbus Brewing Co.,IPA,American IPA,Ohio,9/27/2019,September,2019,Kevin W.,77,Drew B.,3.52,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,4.25,,,,4.00,,,,4.00,,3.50,,,,,,3.50,,,,,,,,,,,,3.50,,,,4.00,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
Hazy Slugger Hazy IPA,Taft's Brewing Co.,IPA,New England/Hazy IPA,Ohio,6/12/2020,June,2020,Charlie D.,84,Jason M.,3.52,4.00,,,,,,,,,,3.25,,,,,3.00,,3.00,,,,,3.75,,,,,,,,,,,3.25,,,,,,,,,,,,,4.00,,,,,,3.75,,,4.00,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Llama Bavarian Style IPA,Fretboard Brewing Co.,IPA,American IPA,Ohio,5/22/2024,May,2024,Jake W. ,131,Eric H.,3.52,,,,,,,,,,,,,,,3.00,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,4.50,,,,,,3.00,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,3.75,2.75,,,,,,,,,,,,,3.75,,,3.50,,,,,,,,,,,,,,,4.25
Weissbier,Franziskaner,Wheat,Hefeweizen,Germany,8/12/2013,August,2013,Scott T.,4,Paul W.,3.50,,4.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,2.00,,,,,4.00,,,,,,,,,,,,,,3.00,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,3.50,3.50,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Special Dark Bier,St. Pauli Girl,Lager,European Dark Lager,Germany,9/9/2013,September,2013,Dave E.,5,Bobby T.,3.50,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,4.00,,,,,3.00,,,4.00,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Gruntled Pumpkin Ale,RJ Rockers Brewing Co.,Pumpkin,,South Carolina,10/10/2013,October,2013,Matt S.,6,Trent D.,3.50,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,4.50,,,,3.50,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,4.00,,,
Furious Beer,Surly Brewing Co.,IPA,American IPA,Minnesota,6/24/2014,June,2014,Scott T.,14,Colin J.,3.50,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,5.00,,,,2.00,,,,,3.00,,,,,,,,3.50,,,,,,4.00,,,,,,,,,,3.00,3.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,4.00,,,,,3.50,,,,,,,,,,,,3.50,,,
Hazelnut Brown Nectar,Rogue Ales,Brown,,Oregon,9/16/2014,September,2014,Jake W.,17,Scott T.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,3.50,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.50,,,,,3.00,,,,,,,,,,,,3.00,,,
Merry Monks' Ale,Weyerbacher Brewing Co.,Tripel,Belgian Tripel,Pennsylvania,1/29/2015,January,2015,Jake W.,21,Paul W.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Chair NWPA,Deschutes Brewery,Pale Ale,American Pale Ale,Oregon,1/29/2015,January,2015,Jake W.,21,Eric H.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon's Milk,New Holland Brewing Co.,Stout,American Imperial Stout,Michigan,1/14/2016,January,2016,Trent D.,33,Dave E.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,5.00,,3.00,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,3.50,,,
Nitro Vanilla Porter,Breckenridge Brewery,Porter,American Porter,Colorado,8/17/2016,August,2016,Scott T.,40,Jake W.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,2.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Breakfast Porter,Woodburn Brewery,Porter,American Porter,Ohio,1/19/2017,January,2017,Jake W.,45,Kevin W.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,4.00,,2.75,,,,,,2.75,,,,,,,,,3.25,,,,,,,,4.00,,,,,4.00,,,,4.25,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unhappy Amber,MadTree Brewing Co.,Amber,,Ohio,2/24/2017,February,2017,Ben W.,46,Eric H.,3.50,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,4.50,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.25,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,2.50,,,,,
Alpha King Pale Ale,3 Floyds Brewing Co.,Pale Ale,American Pale Ale,Indiana,3/22/2017,March,2017,Scott T.,47,Kevin W.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,3.00,,3.50,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Raspberry Beret,Streetside Brewery,Sour,Berliner Weisse,Ohio,8/28/2017,August,2017,Bobby T.,52,Ben C.,3.50,,,,,,,,,,,,,,4.25,,,,3.50,,,,,4.25,,,,,,,,,,,3.50,,,,,,,,,,,,,2.00,,,,,,3.00,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Moloko Milk Stout,3 Floyds Brewing Co.,Stout,Sweet/Milk Stout,Indiana,9/26/2017,September,2017,Lee M.,53,Eric A.,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,4.25,,2.25,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Anni Ale 13irteen,Short's Brewing Co.,Sour,Fruited Sour,Michigan,12/8/2017,December,2018,Paul W.,56,Richard A.,3.50,,,,,,,,,,,,,,,,4.00,,3.75,,,,,,,,,,,,,,,,3.00,,,,3.75,,,,,,,2.00,,3.25,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,3.00,,2.00,,,,,,3.00,,,4.00,,,,,,,,3.25,3.25,5.00,,,,5.00,,,,,,,,,,,4.00,,,,,4.00,3.25,,,,3.25,,,,,
